,ID,Tweet,Date Posted,Author ID,Liked,Reply,Retweet
0,1591977857664024576,Dont forget to donate to CIUT FM !!! The only radio station i know that doesn’t have commercials and constantly has spellbinding shows and programs throughout the week #collegeradio #toronto #canada #UofT #modern #listenersupported #spokenword #NewMusic2022,2022-11-14 02:14:33+00:00,smhimh,0,0,0
1,1591938939669352448,"Happy first day of snow to everyone in Toronto!!❄️☃️🤍

#TorontoWeather #snowfall #Weather #WINTER #uoft #relax #SnowFlake #MentalHealthAwareness #positive 

https://t.co/onJLVz44oK",2022-11-13 23:39:54+00:00,uoftmha,1,0,0
2,1591937427085598721,"How are we feeling on the last day of reading week😭 Time flew by and I was extremely unproductive study-wise, but hey atleast I got a relaxing week to myself! ❤️ 
#uoft #toronto #readingweek #student #studentlife #mentalhealth #studyspo #relax #positive https://t.co/UVJ6nuOeEC",2022-11-13 23:33:54+00:00,uoftmha,0,0,0
3,1591936122674085890,"#SelfCareSunday Since eating is an important part of self care, here’s a great list of quick and easy to make healthy breakfast recipes!🥗🥪
DON’T SKIP BREAKFAST GUYS‼️
#selfcare #MentalHealthMatters #toronto #uoft #Food #breakfast 

https://t.co/0IXGUsN6CS",2022-11-13 23:28:43+00:00,uoftmha,0,0,0
4,1591925903936061440,"Faculty of Fall

15 sec mp4 720 × 1280 11.8 mb
🍂🏫🍂
https://t.co/AAAhdva1Nb
🍂🏫🍂
99/100 @ 3tez.
#RIPHEN #cleanNFT #tezoscommunity #tezosart #geometric #architecture #UofT @objktcom https://t.co/jePUFsWr8V",2022-11-13 22:48:06+00:00,michaelalstad,5,0,0
5,1591905583975829504,Congratulations to Dr. Jacque/line Lavallee — one of our newest alums! ❤️#OISEGrad22 #UofT https://t.co/6BO6kQmXhR,2022-11-13 21:27:22+00:00,OISEAlumFriends,8,0,0
6,1591885148194508800,"Help us! We need your signature!
Meric Gertler: (University of Toronto) Make All Lectures Asynchronous - Sign the Petition! https://t.co/3zrKak2ZPo via CdnChange 

#UofT #UniversityOfToronto #OnlineClasses #Toronto #Canada #UniversityofToronto",2022-11-13 20:06:09+00:00,AllUoft,0,0,0
7,1591877597805260800,"Help us! We need your signature!
Meric Gertler: (University of Toronto) Make All Lectures Asynchronous - Sign the Petition! https://t.co/3zrKakk2Ro via CdnChange 

#UofT #UniversityOfToronto #OnlineClasses #Toronto #Canada #UniversityofToronto",2022-11-13 19:36:09+00:00,AllUoft,0,0,0
8,1591837122641567745,The Best of Ontario Educators 5 is out! - https://t.co/CoG7ItCggr Thanks to @HarpMaree @ScottPiatkowski @writerKait #uoft #onted,2022-11-13 16:55:19+00:00,dougpete,1,0,0
9,1591815674950737923,"Nov. 14-18 | Trans Awareness Week 

@UofTSGDO presents a number of events across all three #UofT campuses leading up to Trans Day of Remembrance. 

Check them out: https://t.co/YEaSDM46mi
#TDoR https://t.co/cA5AVtat8z",2022-11-13 15:30:06+00:00,UTM,6,0,1
10,1591731746332180483,The latest The Assured Janitorial - Mississauga Daily! https://t.co/1byGJpPR3M Thanks to @riannuzziGPC @JennieJareth @UofTNews #uoft #news,2022-11-13 09:56:35+00:00,AssuredBMI,0,0,0
11,1591688854159126529,"Help us! We need your signature!
Meric Gertler: (University of Toronto) Make All Lectures Asynchronous - Sign the Petition! https://t.co/3zrKak2ZPo via CdnChange 

#UofT #UniversityOfToronto #OnlineClasses #Toronto #Canada #UniversityofToronto",2022-11-13 07:06:09+00:00,AllUoft,0,0,0
12,1591681304386412545,"Help us! We need your signature!
Meric Gertler: (University of Toronto) Make All Lectures Asynchronous - Sign the Petition! https://t.co/3zrKakk2Ro via CdnChange 

#UofT #UniversityOfToronto #OnlineClasses #Toronto #Canada #UniversityofToronto",2022-11-13 06:36:09+00:00,AllUoft,0,0,0
13,1591606020912160768,"The third-annual Adams Sustainability Celebration is now on! The Celebration is a tribute to the growing community of sustainability-minded students, faculty, librarians and staff at #UofT. 
Check out upcoming events and activities ♻️ https://t.co/nT2vKWxk9y",2022-11-13 01:37:00+00:00,UTM,1,0,0
14,1591526843597099009,Hey Floridians- why did you vote for oppressing women? #UF #USF #FSU #UofT #Stetson #Gators #Seminoles #Brady #Bucs #Jaguars #MiamiDolphins #orlandoMagic #Pulse #Disney #Westchase #Villages #A1 #Destin #Daytona #Ocala #Naples #Sarasota #KeyWest #Orlando #SpaceX #SpaceCoast #Jax https://t.co/b15NVlN0Pk,2022-11-12 20:22:23+00:00,AnamCara111,0,0,0
15,1591521012872802305,"First year University of Toronto and I'm loving it!!! City life, fast paced, and I have been offered an internship at Redlab!!
so to sum up my first semester, got the lead in a play for the drama department, got the job of the Mascot, and an internship!
#UofT #internship #still17",2022-11-12 19:59:13+00:00,itsathenapark,3,0,0
16,1591517841005633539,"We have brand new Tesla's available for sales no wait time!! 

Please PM for more info.

⭐️LEASE ⭐️FINANCE ⭐️ INTERNATIONAL STUDENT lease 100% APPROVAL ⭐️ BAD CREDIT 100% APPROVAL 
DIRECT：(437) 371-1312 微信: qualityautomotive 

#Torontotesla #Scarborough #UofT #utsc",2022-11-12 19:46:36+00:00,Manhattanmotor_,0,0,0
17,1591517708080017408,"Did you know Philosopher's Walk is part of Toronto’s lost river system?🍂 For thousands of years, the Taddle Creek Ravine carried glacial water and fish for Indigenous communities. Now it’s become a beautiful place to reconnect with nature in the heart of #UofT's campus🤎 https://t.co/q3f0wfvg1P",2022-11-12 19:46:05+00:00,lifeatuoft,1,0,0
18,1591514115025301504,"Thanks to everyone who attended #AstronomyOnTapTO last night, and thanks to those who shared stories with us! We had so much fun learning and chatting about the cosmos with you. 

Stay tuned for our next space events! 

#UofT @UofT @UofTArtSci @AstronomyOnTap https://t.co/ADt5M9vxeN",2022-11-12 19:31:48+00:00,DunlapInstitute,6,2,2
19,1591507656417902592,"Help us! We need your signature!
Meric Gertler: (University of Toronto) Make All Lectures Asynchronous - Sign the Petition! https://t.co/3zrKak2ZPo via CdnChange 

#UofT #UniversityOfToronto #OnlineClasses #Toronto #Canada #UniversityofToronto",2022-11-12 19:06:08+00:00,AllUoft,0,0,0
20,1591500110227116032,"Help us! We need your signature!
Meric Gertler: (University of Toronto) Make All Lectures Asynchronous - Sign the Petition! https://t.co/3zrKakk2Ro via CdnChange 

#UofT #UniversityOfToronto #OnlineClasses #Toronto #Canada #UniversityofToronto",2022-11-12 18:36:09+00:00,AllUoft,1,0,0
21,1591491062928809984,"About 3,800 graduating students from #UTM and across #UofT attended ceremonies held this past week. 
Check out #UofTGrad22 photo highlights as we celebrate our newest graduates at fall convocation: https://t.co/itjr9atKzE

@uoftalumni @Alumni_UTM https://t.co/aI6S1VMsTr",2022-11-12 18:00:12+00:00,UTM,4,0,0
22,1591478286789791746,Come learn more about @utscartscicoop in the ARC #university #UofT #FallCampusDay https://t.co/RZOtjz5i4b,2022-11-12 17:09:26+00:00,Court_onCareers,0,0,0
23,1591476632409313280,"Are you feeling unmotivated? Fear not, the Academic Advising &amp; Career Centre is here to get you back on track!  Join us in person for our Study Skills Session on Goal-Setting &amp; Motivation!  Register on CLNX!

#utsc #student #studentlife #uoft #advice #motivation #university https://t.co/XQUmrhhVd5",2022-11-12 17:02:52+00:00,utscaacc,1,0,0
24,1591474913373724672,The Best of Ontario Educators 5 is out! - https://t.co/rBpGUcMrjI Thanks to @UTSC @ScottPiatkowski @Sabres_Science #uoft #onted,2022-11-12 16:56:02+00:00,dougpete,0,0,0
25,1591468362663600132,"Welcome to Joe's Basketball Diaries! An original #UofT talk series hosted by professor &amp; basketball fanatic @JosephWongUT. Think basketball meets world issues. 
Tune in on Wednesday, Nov. 16 for the season premiere on YouTube. 🏀 https://t.co/6OnxMNYwmw https://t.co/rhfzpaZ2kP",2022-11-12 16:30:00+00:00,UTM,3,0,0
26,1591464179172790273,It's Fall Campus Day @UTSC and I'm at the @utscartscicoop booth ready to answer questions about co-op. #utsc #scarbto #UofT #UofTGrad22 https://t.co/kwS0GQy63Z,2022-11-12 16:13:22+00:00,Court_onCareers,0,0,0
27,1591459173321306112,"Thank you for this honor #UofT and congratulations to my good friend #DarlyWilson.  

The day I stepped onto the campus changed my life. The wonderful friends I made at school #JuneLi #JohnVoss #SheilaMcMillan #DarylWilson #RandySi…https://t.co/V3QoZC2dWk https://t.co/xz2oFwBRHE",2022-11-12 15:53:29+00:00,amascarenhas3,0,0,0
28,1591458903715643393,"This #18yearold just got her #masters at #UofT. Very few knew how #young she really is
https://t.co/I7AHdwnQMt",2022-11-12 15:52:25+00:00,ChrJCarlson,0,0,0
29,1591450447864381444,"""Through prose, poetry &amp; photos, this collection of 1st-hand accounts documents the lived experiences of #homelessness, responses to #HousingCrisis &amp; #solutions to move Toronto forward. Authors argue convincingly for national #housing program. #UofT Press: https://t.co/GP9z9nySQg https://t.co/wIB8N96GFw",2022-11-12 15:18:49+00:00,radiogirl985,0,0,0
30,1591445790207234054,How can cities make green infrastructure the new normal? A new document offers a framework for policymakers to use nature to offer community services on a mass scale. https://t.co/uQ2zSj7Fwq #UTSC #UofT @UTSCresearch https://t.co/KJPoozCPGh,2022-11-12 15:00:18+00:00,UTSC,1,0,1
31,1591433430599884805,"This is huge! Immensely proud to be an alumn! 😍 

#sustainability #ranking #uoft 
https://t.co/dXy0fDFKTb",2022-11-12 14:11:11+00:00,PanchoCalderonP,0,0,0
